latitude,longitude,label,link
http://www.wikidata.org/entity/Q17678569,Point(-3.60382 51.0961),Earthwork enclosure on Winsford Hill
http://www.wikidata.org/entity/Q17662351,Point(-0.748631 51.2088),Earthwork on Botany Hill
http://www.wikidata.org/entity/Q17646240,Point(-1.73694 51.2321),Earthwork east of Ablington Furze
http://www.wikidata.org/entity/Q17650460,Point(-0.890519 51.2067),Earthwork at Penley
http://www.wikidata.org/entity/Q17645855,Point(-2.53818 50.8129),Earthwork on Cross Hill
http://www.wikidata.org/entity/Q17646367,Point(-0.852172 54.2008),Earthworks at Manor House Farm
http://www.wikidata.org/entity/Q17649931,Point(-1.00692 51.1964),Earthwork in Great Park
http://www.wikidata.org/entity/Q17648386,Point(-2.27988 50.8364),Earthworks
http://www.wikidata.org/entity/Q17648391,Point(-2.40505 50.8312),Earthwork on Church Hill
http://www.wikidata.org/entity/Q17678541,Point(-0.732643 54.2354),Roxby Hill manorial complex and associated ridge and furrow earthworks
http://www.wikidata.org/entity/Q24659439,Point(-4.8749245 51.894055),Woodstock Ring
http://www.wikidata.org/entity/Q18814126,Point(5.159766395 51.986020064),Q18814126
http://www.wikidata.org/entity/Q17647801,Point(-1.14372 52.2462),Burnt Walls
http://www.wikidata.org/entity/Q17673120,Point(-3.8056 51.2298),Earthwork defences of Countisbury Castle promontory fort
http://www.wikidata.org/entity/Q17663724,Point(-1.78693 51.4897),Earthwork enclosure and dewpond
http://www.wikidata.org/entity/Q17648901,Point(-1.1286 50.8069),Earthwork defences at Priddy's Hard
http://www.wikidata.org/entity/Q17648169,Point(-2.27217 50.8326),Earthworks on Houghton South Down
http://www.wikidata.org/entity/Q17648409,Point(1.44782 52.468),Earthwork on Broome Heath
http://www.wikidata.org/entity/Q17677392,Point(-3.43231 51.1435),Earthwork enclosure on Rodhuish Common
http://www.wikidata.org/entity/Q17662565,Point(-1.21334 54.2832),Section of the Cleave Dyke system known as Hesketh Dike and Silver Hill round barrow
http://www.wikidata.org/entity/Q24659263,Point(-2.98242 52.23096),Titley Shawl Field
http://www.wikidata.org/entity/Q17677524,Point(0.197491 50.9515),Medieval ringwork in Middle Wood
http://www.wikidata.org/entity/Q17648849,Point(-4.33948 50.9874),Earthwork
http://www.wikidata.org/entity/Q17648772,Point(0.87631 52.772),Earthworks
http://www.wikidata.org/entity/Q17664497,Point(-1.74775 54.541),St Lawrence's Chapel; manorial settlement remains and dovecote
http://www.wikidata.org/entity/Q17648223,Point(-4.16195 50.6032),Earthworks on Brent Tor
http://www.wikidata.org/entity/Q17646030,Point(0.912479 51.9142),Earthwork in Brinkley Grove
http://www.wikidata.org/entity/Q24659346,Point(-3.4487371 52.274701),Llyn Gwyn Earthwork
http://www.wikidata.org/entity/Q17650361,Point(-1.35365 51.1288),Earthwork
http://www.wikidata.org/entity/Q17647190,Point(-0.127345 50.8724),Earthworks and lynchets near Eastwick Barn 
http://www.wikidata.org/entity/Q17646294,Point(-1.54017 51.6602),Earthwork in Ewedown Copse
http://www.wikidata.org/entity/Q17646264,Point(-1.42013 52.0461),Earthwork
http://www.wikidata.org/entity/Q17648315,Point(-2.26052 50.7717),Earthwork
http://www.wikidata.org/entity/Q17674932,Point(-2.11082 51.1227),Earthwork enclosure in Penning Wood
http://www.wikidata.org/entity/Q17647086,Point(-1.83496 51.3757),Earthwork
http://www.wikidata.org/entity/Q17675485,Point(-2.23852 51.1188),Earthwork enclosure
http://www.wikidata.org/entity/Q17649966,Point(-1.44721 52.6581),Motte and associated earthworks at Shackerstone
http://www.wikidata.org/entity/Q24659447,Point(-4.4981806 52.056618),Parc y Castell
http://www.wikidata.org/entity/Q24659214,Point(-2.52858 50.8676),Leigh Drummers; The Castle
http://www.wikidata.org/entity/Q17648162,Point(-2.28408 50.8435),Earthwork
http://www.wikidata.org/entity/Q17648338,Point(-2.65172 50.7257),Earthworks on Askerswell Down
http://www.wikidata.org/entity/Q17675694,Point(-0.257295 53.8591),Manorial earthworks and fishponds in Rise Park
http://www.wikidata.org/entity/Q17649008,Point(-0.996675 54.1928),Earthworks by Stonegrave church
http://www.wikidata.org/entity/Q17650185,Point(-1.37144 51.8432),Earthwork 
http://www.wikidata.org/entity/Q17673730,Point(-0.827384 53.0978),Civil War Sconce
http://www.wikidata.org/entity/Q21061950,Point(-3.2 51.13361111),Dead Woman's Ditch
http://www.wikidata.org/entity/Q24659239,Point(-2.92862 52.31906),Birtley Earthworks
http://www.wikidata.org/entity/Q18150335,Point(-77.0047222 38.9486111),Fort Totten
http://www.wikidata.org/entity/Q17663920,Point(-2.22294 51.3436),Earthwork enclosure in Great Bradford Wood
http://www.wikidata.org/entity/Q17646452,Point(0.389092 51.4739),Earthworks near church
http://www.wikidata.org/entity/Q17650168,Point(-0.884788 51.0324),Earthwork on Farther Commons
http://www.wikidata.org/entity/Q17646845,Point(-2.27991 51.119),Earthwork on White Sheet Downs
http://www.wikidata.org/entity/Q17650858,Point(-1.92142 50.9628),A linear earthwork and two bowl barrows east of Bokerley Dyke on Blagdon Hill
http://www.wikidata.org/entity/Q17648889,Point(-3.74203 50.6116),Earthwork in Houndtor Wood
http://www.wikidata.org/entity/Q17647019,Point(-3.50832 51.0353),Earthworks
http://www.wikidata.org/entity/Q17645947,Point(0.838929 51.6611),Earthworks in and
http://www.wikidata.org/entity/Q17674910,Point(-2.10114 51.1267),Earthwork enclosure in Great Ridge wood
http://www.wikidata.org/entity/Q17675729,Point(-0.61224 53.6208),Earthwork remains of St Bartholomew's Church
http://www.wikidata.org/entity/Q17649938,Point(-1.36832 51.2879),Earthworks in Danegrove Copse
http://www.wikidata.org/entity/Q17646871,Point(0.874466 51.9695),Court Knoll
http://www.wikidata.org/entity/Q17645878,Point(-1.70958 51.2255),Earthwork enclosure on Brigmerston Down
http://www.wikidata.org/entity/Q17648307,Point(-0.364702 52.7314),Earthworks of Car Dyke in Park Wood
http://www.wikidata.org/entity/Q17648309,Point(-2.36815 50.8111),Earthwork and ancient fields
http://www.wikidata.org/entity/Q17645426,Point(-2.70901 52.2744),Earthworks
http://www.wikidata.org/entity/Q17645368,Point(-2.699 50.7269),Shipton Hill Settlement
