latitude,longitude,label,link
NT002773	St Michael's Church	https://sundialsoc.org.uk/#massidial-1514	South Porch. South west quoin stone, 8 stones up
NT128785	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1515	South wall, R jamb of window.
NT189826	Abbey of St Colm's Church 	https://sundialsoc.org.uk/#massidial-1517	Formerly S wall. Currently in Abbey Museum Store
NU058017	 All Saints' Church 	https://sundialsoc.org.uk/#massidial-1294	Chancel, S wall, between 2 easternmost buttresses
NU058017	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1295	Chancel, S wall, easternmost buttress
NU178350	St Aidan's Church 	https://sundialsoc.org.uk/#massidial-0257	Inside Church.  In crypt
NY072364	St Mungo's Church 	https://sundialsoc.org.uk/#massidial-0557	Chancel, S wall, to R of priest door.  RHS Priest. door
NY072364	St Mungo's Church 	https://sundialsoc.org.uk/#massidial-0558	Chancel, S wall, to L of priest door.  LHS  Priest door
NY072364	St Mungo's Church 	https://sundialsoc.org.uk/#massidial-0559	Nave, S wall, Doorway, inside porch, to R of door.  RHS S door
NY072364	St Mungo's Church 	https://sundialsoc.org.uk/#massidial-0560	Uncertain.  LHS S door
NY072364	St Mungo's Church 	https://sundialsoc.org.uk/#massidial-0561	Nave, S wall, Doorway, inside porch, to L of door.  LHS S door
NY164334	St Michael's Church 	https://sundialsoc.org.uk/#massidial-0563	Nave, S wall, Doorway, inside porch, to R of door.
NY164334	St Michael's Church 	https://sundialsoc.org.uk/#massidial-0564	Chancel, S wall, to L of window 2. Top dial
NY164334	St Michael's Church 	https://sundialsoc.org.uk/#massidial-0565	Chancel, S wall, to L of window 2. Central dial
NY164334	St Michael's Church 	https://sundialsoc.org.uk/#massidial-0566	Chancel, S wall, to L of window 2.   Bottom dial.
NY198552	St John the Baptist's Church 	https://sundialsoc.org.uk/#massidial-0555	Tower, W side  Pele Tower
NY198552	St John the Baptist's Church 	https://sundialsoc.org.uk/#massidial-0556	Nave, S wall, Doorway, inside porch, to R of door.
NY205398	St Michael's Church 	https://sundialsoc.org.uk/#massidial-1319	Inside Church. High on the South wall, between the two windows. Behind Memorial tablet
NY305566	St Peter's Church 	https://sundialsoc.org.uk/#massidial-1316	South wall, to right of window
NY326398	St Kentigern's Church 	https://sundialsoc.org.uk/#massidial-0569	 S wall, to R of porch door.
NY551368	St Cuthbert's Church 	https://sundialsoc.org.uk/#massidial-1315	Inside porch, to right of Church door
NY564154	St Michael's Church 	https://sundialsoc.org.uk/#massidial-1318	In the south wall
NY565746	St Cuthbert's Church 	https://sundialsoc.org.uk/#massidial-1321	On South face of Celtic cross shaft, high up
NY587245	St Cuthbert's Church 	https://sundialsoc.org.uk/#massidial-0567	Nave, S wall, Doorway, inside porch, to R of door.  RHS S door
NY587245	St Cuthbert's Church 	https://sundialsoc.org.uk/#massidial-0568	Nave, S wall, Doorway, inside porch, to R of door.  RHS S door
NY628286	St Edmund's Church 	https://sundialsoc.org.uk/#massidial-1322	High on a south wall buttress
NY639294	All Saints' Church 	https://sundialsoc.org.uk/#massidial-0020	Nave, SW buttress,  W quoin stone.
NY654293	St Cuthbert's Church 	https://sundialsoc.org.uk/#massidial-0024	Nave, S wall, Doorway, inside porch, to L of door.
NY654293	St Cuthbert's Church 	https://sundialsoc.org.uk/#massidial-0025	Nave, S wall, Doorway, inside porch, to L of door.
NY654293	St Cuthbert's Church 	https://sundialsoc.org.uk/#massidial-0026	Chancel, S wall, E quoin stone.  E end Chancel
NY665240	St Margaret and St James' Church 	https://sundialsoc.org.uk/#massidial-1317	Knock Porch. East wall, high up
NY743157	St Columba's Church 	https://sundialsoc.org.uk/#massidial-1320	South porch. Left side of doorway
NZ049614	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0993	Nave, S wall, E of door, below window 5.   W of E Buttress Nave
