item,location,itemLabel
http://www.wikidata.org/entity/Q16206481,Point(-2.703493 54.972582),Milecastle 54
http://www.wikidata.org/entity/Q16206492,Point(-2.747448 54.971466),Milecastle 56
http://www.wikidata.org/entity/Q16206501,Point(-2.769748 54.965351),Milecastle 57
http://www.wikidata.org/entity/Q16206510,Point(-2.888591 54.929043),Milecastle 63
http://www.wikidata.org/entity/Q16206520,Point(-2.909922 54.919989),Milecastle 64
http://www.wikidata.org/entity/Q16206531,Point(-2.970858 54.90424),Milecastle 68
http://www.wikidata.org/entity/Q16206539,Point(-3.03435 54.923127),Milecastle 71
http://www.wikidata.org/entity/Q16247408,Point(-3.23599 54.9461),Milefortlet 1
http://www.wikidata.org/entity/Q16247414,Point(-3.25422 54.941232),Milefortlet 2
http://www.wikidata.org/entity/Q16247420,Point(-3.27165 54.9327),Milefortlet 3
http://www.wikidata.org/entity/Q16247426,Point(-3.28953 54.9262),Milefortlet 4
http://www.wikidata.org/entity/Q16247434,Point(-3.29544 54.9135),Milefortlet 5
http://www.wikidata.org/entity/Q16247437,Point(-3.358803 54.892341),Milefortlet 9
http://www.wikidata.org/entity/Q16247444,Point(-3.385852 54.871814),Milefortlet 11
http://www.wikidata.org/entity/Q16247448,Point(-3.39713 54.8598),Milefortlet 12
http://www.wikidata.org/entity/Q16247455,Point(-3.403677 54.846625),Milefortlet 13
http://www.wikidata.org/entity/Q16247461,Point(-3.411301 54.835258),Milefortlet 14
